RESPID,QD2_PoliticalAffiliation,QD2A_PoliticalLean,QC3_ClintonEmailAwareness,QC4_ClintonEmailIntent,QC5_ClintonEmailHonesty,QC6_BenghaziCommittee,QC7_TiredofEmails,QB1_ObamaApproval,QB2_CongressApprove,QB3_CountryDirection,QB4_TradeAgreements,QB5_TradeAgreementAwareness,QB6_TradeAgreementOpinion,QB7_NaftaOpinion,QD3_PoliticalViews,QD3A_TeaParty,QD4_Education,QD5_Age,QD5A_AgeRange,QD6_Children,QD7_HispanicLatino,QD8_WhiteBlackAsian,QD9_Income,QD10_Gender
2074,3,1,1,1,2,1,2,2,2,2,1,2,1,1,3,3,7,62,,2,2,1,4,1
2195,1,,2,2,9,2,1,2,2,2,2,2,2,2,1,5,7,50,,2,2,2,3,1
387,1,,2,1,2,1,2,2,2,2,3,2,4,2,4,1,3,71,,2,2,1,1,2
5689,4,1,1,1,2,1,2,2,2,2,2,2,2,2,5,1,8,41,,1,2,1,4,1
6520,1,,2,1,2,1,2,2,2,2,2,3,4,4,5,2,3,43,,1,2,1,2,2
6697,2,,1,2,1,2,1,1,2,1,1,1,1,4,1,5,5,46,,1,2,1,3,2
2835,2,,1,2,2,1,2,1,2,1,1,2,1,1,3,5,8,39,,1,2,1,4,2
84,1,,1,1,2,1,1,2,2,2,3,2,4,2,4,3,8,45,,1,1,4,2,2
5257,3,1,2,2,1,9,1,1,1,1,1,2,4,1,4,2,7,87,,2,2,1,3,1
89,4,3,1,1,2,2,2,1,1,2,3,3,4,4,5,3,3,71,,2,1,4,3,1
215,2,,1,2,1,2,1,1,2,2,3,2,4,4,3,4,6,60,,2,2,1,2,2
2315,3,9,1,2,9,2,2,2,2,2,3,2,4,3,3,3,5,66,,2,2,9,3,2
5016,2,,3,2,1,2,1,1,2,1,3,1,4,4,1,5,3,57,,2,2,1,3,2
4995,1,,1,1,2,3,2,2,1,2,2,2,4,3,5,3,6,63,,2,2,1,2,2
5306,2,,1,2,1,2,1,1,2,1,1,1,3,1,3,5,6,61,,2,2,1,2,1
299,3,2,1,2,1,2,1,1,2,2,1,2,2,2,2,5,8,77,,2,2,1,4,2
5709,2,,1,2,1,2,1,1,2,3,2,3,2,2,2,5,6,57,,2,2,1,2,2
1038,2,,1,2,1,2,1,2,2,2,2,2,4,3,2,3,5,36,,1,2,2,1,2
3623,1,,1,2,2,1,2,2,2,2,3,2,4,4,4,1,3,41,,1,2,1,3,1
6557,3,2,2,9,9,2,1,1,2,2,3,3,4,4,3,4,8,40,,2,2,1,1,1
4799,1,,1,1,2,1,1,2,2,2,3,2,4,2,4,1,5,75,,2,2,1,3,1
5392,1,,1,9,2,3,2,2,1,2,1,2,1,1,4,4,8,43,,1,2,1,3,1
90,1,,1,1,2,1,1,2,2,2,2,2,2,2,5,3,3,71,,2,2,1,1,2
4928,2,,3,2,1,2,2,1,2,3,1,2,4,4,3,9,8,85,,2,2,1,1,2
864,9,9,3,2,9,1,1,2,1,2,3,3,4,4,4,3,2,22,,1,2,1,1,2
4770,2,,1,2,1,2,1,1,2,1,1,2,4,4,1,3,7,78,,2,2,1,3,2
7128,3,3,3,2,1,1,2,1,1,2,3,3,4,3,3,4,7,31,,2,2,1,1,2
7408,3,1,1,2,2,2,1,1,2,1,3,2,4,3,3,5,7,28,,2,2,3,4,1
1992,2,,1,2,1,2,1,1,2,1,2,2,2,2,3,5,8,60,,2,2,1,2,2
7500,1,,1,2,2,1,2,2,2,2,2,2,2,3,5,2,7,48,,1,2,1,3,2
3950,3,3,2,2,1,1,1,9,9,1,1,2,4,1,3,4,3,42,,1,1,1,3,2
772,2,,1,2,1,2,1,1,1,1,3,3,4,3,3,3,8,43,,2,2,1,2,2
6933,1,,2,2,9,2,9,2,2,2,2,3,4,2,5,2,8,39,,1,2,1,2,2
986,4,9,1,2,1,2,1,2,1,2,3,3,4,4,9,9,3,31,,2,2,1,2,2
2797,9,3,3,2,9,1,9,9,9,1,1,3,4,3,3,3,6,21,,2,2,3,8,2
3913,1,,1,1,2,1,2,2,2,2,3,3,4,2,5,3,6,99,3,2,2,1,1,2
2675,9,9,3,9,2,1,2,2,2,9,1,1,1,4,3,1,2,41,,2,1,4,9,2
3005,1,,1,9,2,9,2,2,2,2,4,2,4,4,4,3,3,83,,2,2,1,1,2
534,2,,1,2,2,2,1,1,2,1,3,2,4,1,2,5,5,27,,2,2,1,2,1
3918,1,,1,1,2,1,2,2,2,2,2,3,4,2,5,3,5,74,,2,2,1,3,1
4403,1,,2,2,9,3,9,1,2,2,3,2,3,3,4,3,3,46,,2,2,2,1,1
5129,1,,1,1,2,1,2,2,2,2,2,1,2,4,5,3,7,49,,1,2,1,2,1
932,2,,2,2,1,2,1,2,2,2,3,2,4,4,1,5,4,59,,2,2,1,1,1
5166,1,,2,2,2,2,1,2,2,2,2,2,4,4,4,4,6,59,,2,2,1,3,2
931,2,,1,2,1,2,1,1,2,1,3,1,3,1,2,5,5,64,,2,2,1,3,2
2492,2,,1,2,1,2,1,1,2,1,1,2,4,1,2,4,7,66,,2,2,1,3,2
5103,1,,2,1,2,2,1,2,2,2,1,2,4,2,4,2,6,47,,2,2,1,3,1
2945,3,3,1,1,2,1,2,2,2,2,2,2,2,2,5,1,6,63,,1,2,1,3,1
6166,1,,1,1,2,1,2,2,2,2,2,3,4,2,5,1,5,51,,2,2,1,4,1
3346,1,,1,2,1,1,1,2,2,2,3,2,4,4,4,3,7,69,,2,2,1,4,1
3673,1,,1,2,2,2,2,2,1,2,2,2,2,2,3,2,3,39,,2,2,1,2,1
2723,3,1,1,1,2,2,2,2,2,2,2,3,4,2,3,1,8,56,,2,2,1,3,2
2968,4,1,1,9,2,2,2,2,2,2,1,2,3,3,3,3,6,36,,2,2,2,1,1
1303,1,,1,1,2,1,2,2,2,2,3,3,4,1,4,1,3,74,,2,2,1,2,1
131,3,3,1,2,2,1,1,2,2,2,3,2,4,2,3,3,3,43,,2,2,1,3,1
99,3,2,1,2,2,2,1,2,2,2,2,1,2,2,1,5,7,69,,2,2,1,3,1
412,9,3,1,2,2,2,1,2,2,2,2,3,4,3,4,2,5,73,,2,2,1,3,1
936,1,,1,2,2,1,2,2,2,2,1,2,3,1,4,3,7,70,,2,2,1,4,1
1055,4,1,1,1,2,1,1,1,1,2,1,2,1,4,2,3,3,29,,1,1,1,2,1
3738,2,,1,2,1,2,1,1,2,1,3,2,4,4,3,5,8,50,,1,2,1,4,1
4920,1,,1,1,2,1,1,2,2,2,2,2,3,3,4,3,6,70,,2,2,1,2,1
5064,2,,1,9,2,1,2,2,2,2,3,3,4,4,9,9,3,70,,1,2,1,3,1
5399,1,,1,9,2,2,1,2,2,2,1,2,4,1,4,3,8,47,,2,2,1,3,1
5939,1,,1,1,2,2,2,2,2,2,4,1,4,4,4,3,6,54,,2,2,1,4,1
3931,4,1,1,1,2,1,1,2,2,2,3,3,4,4,5,3,5,99,2,2,2,1,9,2
728,4,2,1,2,1,2,1,1,2,1,1,2,1,1,3,5,8,52,,2,2,1,4,1
731,2,,2,2,9,3,1,9,2,3,3,1,4,2,1,5,7,22,,2,2,1,1,1
